title,description,completed
Finish Project Alpha,Complete the final report for Project Alpha,false
Plan Summer Vacation,Research destinations and book flights,true
Organize Birthday Party,Buy decorations and plan activities,false
Learn Guitar Chords,Practice chords A, D, and E,true
Write Blog Post,Draft ideas for next week's blog post,false
Complete Online Course,Finish the last module of the React course,true
Prepare Dinner,Shop for ingredients and cook a healthy meal,false
Read New Book,Start reading "The Power of Habit" by Charles Duhigg,true
Run 5K Marathon,Train for the upcoming charity marathon,false
Update Resume,Revise work experience and skills section,true
